Designator,Mid X,Mid Y,Rotation,Layer
C1,125.73,-115.062,180.0,top
C10,123.063,-74.041,90.0,top
C11,129.373621,-111.506,0.0,top
C12,129.373621,-118.872,0.0,top
C13,129.246621,-69.3735,0.0,top
C14,129.246621,-76.7395,0.0,top
C15,120.65,-123.19,270.0,top
C16,120.523,-81.0575,270.0,top
C17,129.326,-127.0,0.0,top
C18,129.286,-134.62,0.0,top
C19,129.199,-84.8675,0.0,top
C2,125.603,-72.9295,180.0,top
C20,129.159,-92.4875,0.0,top
C21,122.428,-119.38,0.0,top
C22,122.301,-77.2475,0.0,top
C23,124.968,-144.692379,90.0,top
C24,124.841,-102.559879,90.0,top
C25,143.256,-144.82,270.0,top
C26,143.129,-102.6875,270.0,top
C27,141.060249,-130.472245,90.0,top
C28,140.933249,-88.339745,90.0,top
C29,148.971,-99.8535,0.0,top
C3,120.65,-127.0,270.0,top
C30,149.098,-141.986,0.0,top
C31,151.511,-97.8215,180.0,top
C32,146.431,-97.8215,0.0,top
C33,151.638,-139.954,180.0,top
C34,146.558,-139.8524,0.0,top
C35,153.416,-135.128,0.0,top
C36,153.289,-92.9955,0.0,top
C37,156.718,-126.746,0.0,top
C38,156.718,-134.366,0.0,top
C39,156.591,-84.6135,0.0,top
C4,120.65,-132.08,270.0,top
C40,156.591,-92.2335,0.0,top
C41,160.274,-130.556,270.0,top
C42,160.147,-88.4235,270.0,top
C43,160.782,-128.524,0.0,top
C44,160.782,-132.588,180.0,top
C45,160.655,-86.3915,0.0,top
C46,160.655,-90.4555,180.0,top
C47,160.655,-95.2815,90.0,top
C48,160.782,-137.414,90.0,top
C49,161.29,-123.952,270.0,top
C5,123.19,-112.776,90.0,top
C50,161.163,-81.8195,270.0,top
C51,163.576,-123.952,90.0,top
C52,163.449,-81.8195,90.0,top
C53,162.687,-95.2815,270.0,top
C54,162.814,-137.414,270.0,top
C55,152.273,-46.482,90.0,top
C56,147.828001,-45.085,90.0,top
C57,144.78,-47.625,0.0,top
C58,144.272,-43.815,90.0,top
C59,138.176,-40.513,0.0,top
C6,123.19,-116.586,90.0,top
